,Incident Description,Record Classification
7149,"I arrived at 7404F and Tidal / Bealine was in the process of setting up in preparation for the vacuum job. I asked the driver to roll his sleeves down, put on hearing protection and safety glasses. He put on safety glasses and hearing protection, but did not roll his sleeves down when initially asked to do so. 
I asked the Tidal / Bealine employees to see their checklist that was developed by Tidal as corrective action to the incident in January. The driver provided me the checklist and I noticed that items 1 through 10 had not been checked off as complete prior to leaving the yard as required by the checklist. I questioned the driver and he stated that he had done the checks, but had not actually checked them off on the checklist. He also stated that he had been out of town and was not familiar with the checklist, but assured me he had completed the items. The driver then took the checklist back and checked off items 1 through 10 as if he had completed them. I also noticed that item # 4 under the prior to leaving the yard section requires a vacuum to be pulled down to 20? on the trailer, but when I looked at the gauge on the trailer, it was at 5? and not 20?. When I questioned the driver about the loss of vacuum, he couldn?t explain the loss. The loss of vacuum was a clear indication to me that the driver did not perform the steps properly or the trailer had a leak and lost vacuum in transit to LPO. Again, I instructed the driver to roll his sleeves down, which he finally complied.
I also noticed that the hoses Tidal / Bealine were laying out were not very good condition; they were covered in cuts and gouges. I asked the driver if he could show me where the hoses were tagged with the last inspection and test date or provide me with documentation that showed when the hoses were last tested and inspected. The driver stated that as far as he knew they didn?t test and inspect hoses.
Based on the condition of the hoses, the drivers poor safety attitude and incomplete paperwork, the Ops Manager and Shift Supervisor were notified of the issues and the job was shutdown and called off until a later date.",Level0
7150,"THE OPERATOR ON LINE C NOTICED THE R.O.C SAMPLER PIPE WAS DETATCHED FROM THE SAMPLER UNIT AND WAS BLOWING BLACK PELLETS INTO LINE D'S PACKAGING AREA, THIS WAS CAUSING CONTAMINATION OF THE FINISHED PRODUCT ON LINE D. THE PIPE WAS REATATCHED ON LINE C'S R.O.C, LINE D BINS WERE BACK CHECKED AND 2800KGS WAS ISOLATED FOR REFEED. THE DOWNSTREAM WAS CLEANED TO ELIMINATE RISK OF FURTHER CONTAMINATION AND EXTRA BATCHES OF PREMIX WERE MADE TO COUNTER THE SHORT FALL IN PRODUCTION FROM LOST PRODUCT",Level0
7151,Upon entering the shop during late night callout the technician could smell smoke and traced it to the kitchen refrigerator.  No flames were visible but the freezer was covered with black soot.  The technician unplugged the appliance and verified that no fire or additional heat was present.,Level1
7152,Maintenance came to weld on the new RGC degassing tank system and the outside operator found that two of the lines had blinds in them and one did not.  The two blinds that were installed previous to that day did not have a file in place to account for them.  They notified STL and maintenance that an additional blind was needed and a blind file needed to be created.  This was done and maintenance was permitted to work.,Level0
7153,"When blowing down the pump minimum flow transmitter (1400FI1002A) one of the 1/2"" tubing fittings came loose.  The pump was not in service at the time. The production technician re-connected the tubing. There were no injuries. 
 I & E personnel are checking all of the associated fittings.",Level0
7154,"Operator working Hot Frac noticed a rotted scaffold board fell from the top level of the piperack in ally way north of T-4609. Barricaded off the area until scaffold is removed. 
The scaffold appears to be left behind from the caustic line replacement project of some time back.
",Level0
7155,"While a Lyondell Basell maintenance planner was reviewing a job at the Zimpro effluent acid skid, a drop of concentrated sulfuric acid fell on his hand.  He immediately went to the safety shower/eyewash and began to wash it off.",Level1
7156,"A contractor was swinging the jib on 110 ton crane.  While positioning the crane boom, the hydraulic cylinder contacted the right front fender of the crane.",Level0
7157,While entering plant by shipping office I was walking towards the break room when I noticed a forklift driver backing out of an empty truck. I was in the path of the truck but did not notice until I saw the blue back up warning light. The driver saw me and I was able to get out of the way. This is a dangerous area due to the low visibility inside the truck so pedestrians and forklift operators should take extra precaution while transiting in this area.,Level0
7158,"While clearing R-620 dehydration reactor with nitrogen both PSV's lifted for about one minute. The reactor was already cleared of hydrocarbons. Notifications have been made, calculations to follow.",Level1
7159,Individual ran into the end of the control panel on the EO panel board.  No injury,Level0
7160,"I was pulling a couple empty boxes out of an E-1 isle. The isle too the right of me was full of boxes, therefore as I was backing out with a double stack of boxes from the isle I was in I looked behind me making sure nothing was obstructing my path. I started making the bend around the last box on the isle to the right of me and struck the column on the right corner at the end of the row of boxes. I couldn't see the column through the the vertical bar for the roll cage on the back of the forklift. The shock watch was set off. I contacted my superviser and the shock watch was reset. No damage was done and no one was hurt.",Level0
7161,"On March 10th ROW Techs were working on system 65 8? propylene line north of Sjolander Road and noticed an area that needed reclamation so another ROW tech was called to inspect that area near systems 61,62,63, and 196VW. On Monday 3-21-16 when the ROW tech came back to the site he noticed that a wide area of ground had been partially excavated (1 foot deep) and the dirt was pushed down into a creek bed plugging up the water flow. One edge of the excavation was approximately two feet from our pipeline markers and the tire tracks appeared to be from a tractor. Our depth of cover is approximately 8 feet in the area under the creek. Unknown who performed the work as no work was in the area and is very wooded and remote.",Level0
